,Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
0,Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
1,1924,Chamonix,Skating,Figure skating,AUT,individual,M,Silver
2,1924,Chamonix,Skating,Figure skating,AUT,individual,W,Gold
3,1924,Chamonix,Skating,Figure skating,AUT,pairs,X,Gold
4,1924,Chamonix,Bobsleigh,Bobsleigh,BEL,four-man,M,Bronze
5,1924,Chamonix,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
6,1924,Chamonix,Biathlon,Biathlon,FIN,military patrol,M,Silver
7,1924,Chamonix,Skating,Figure skating,FIN,pairs,X,Silver
8,1924,Chamonix,Skating,Speed skating,FIN,10000m,M,Gold
9,1924,Chamonix,Skating,Speed skating,FIN,10000m,M,Silver
10,1924,Chamonix,Skating,Speed skating,FIN,1500m,M,Gold
11,1924,Chamonix,Skating,Speed skating,FIN,5000m,M,Gold
12,1924,Chamonix,Skating,Speed skating,FIN,5000m,M,Silver
13,1924,Chamonix,Skating,Speed skating,FIN,500m,M,Bronze
14,1924,Chamonix,Skating,Speed skating,FIN,combined (4 events),M,Bronze
15,1924,Chamonix,Skating,Speed skating,FIN,combined (4 events),M,Gold
16,1924,Chamonix,Skiing,Cross Country S,FIN,18km,M,Bronze
17,1924,Chamonix,Biathlon,Biathlon,FRA,military patrol,M,Bronze
18,1924,Chamonix,Curling,Curling,FRA,curling,M,Bronze
19,1924,Chamonix,Skating,Figure skating,FRA,pairs,X,Bronze
20,1924,Chamonix,Bobsleigh,Bobsleigh,GBR,four-man,M,Silver
21,1924,Chamonix,Curling,Curling,GBR,curling,M,Gold
22,1924,Chamonix,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Bronze
23,1924,Chamonix,Skating,Figure skating,GBR,individual,W,Bronze
24,1924,Chamonix,Skating,Speed skating,NOR,10000m,M,Bronze
25,1924,Chamonix,Skating,Speed skating,NOR,1500m,M,Bronze
26,1924,Chamonix,Skating,Speed skating,NOR,1500m,M,Silver
27,1924,Chamonix,Skating,Speed skating,NOR,5000m,M,Bronze
28,1924,Chamonix,Skating,Speed skating,NOR,500m,M,Bronze
29,1924,Chamonix,Skating,Speed skating,NOR,500m,M,Silver
30,1924,Chamonix,Skating,Speed skating,NOR,combined (4 events),M,Silver
31,1924,Chamonix,Skiing,Cross Country S,NOR,18km,M,Gold
32,1924,Chamonix,Skiing,Cross Country S,NOR,18km,M,Silver
33,1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Bronze
34,1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Gold
35,1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Silver
36,1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Bronze
37,1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Gold
38,1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Silver
39,1924,Chamonix,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
40,1924,Chamonix,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
41,1924,Chamonix,Biathlon,Biathlon,SUI,military patrol,M,Gold
42,1924,Chamonix,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
43,1924,Chamonix,Skating,Figure skating,SUI,individual,M,Bronze
44,1924,Chamonix,Curling,Curling,SWE,curling,M,Silver
45,1924,Chamonix,Skating,Figure skating,SWE,individual,M,Gold
46,1924,Chamonix,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
47,1924,Chamonix,Skating,Figure skating,USA,individual,W,Silver
48,1924,Chamonix,Skating,Speed skating,USA,500m,M,Gold
49,1924,Chamonix,Skiing,Ski Jumping,USA,K90 individual (70m),M,Bronze
50,1928,St. Moritz,Skating,Figure skating,AUT,individual,M,Silver
51,1928,St. Moritz,Skating,Figure skating,AUT,individual,W,Silver
52,1928,St. Moritz,Skating,Figure skating,AUT,pairs,X,Bronze
53,1928,St. Moritz,Skating,Figure skating,AUT,pairs,X,Silver
54,1928,St. Moritz,Skating,Figure skating,BEL,individual,M,Bronze
55,1928,St. Moritz,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
56,1928,St. Moritz,Skating,Speed skating,FIN,1500m,M,Gold
57,1928,St. Moritz,Skating,Speed skating,FIN,5000m,M,Silver
58,1928,St. Moritz,Skating,Speed skating,FIN,500m,M,Bronze
59,1928,St. Moritz,Skating,Speed skating,FIN,500m,M,Gold
60,1928,St. Moritz,Skating,Figure skating,FRA,pairs,X,Gold
61,1928,St. Moritz,Bobsleigh,Skeleton,GBR,individual,M,Bronze
62,1928,St. Moritz,Bobsleigh,Bobsleigh,GER,five-man,M,Bronze
63,1928,St. Moritz,Skating,Figure skating,NOR,individual,W,Gold
